ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10224841,HY411731,9/5/2015 15:30,025XX W CERMAK RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1034,10,25,31,6,1159734,1889313,2015,2/10/2018 15:50,41.85198889,-87.68921912,"(41.851988885, -87.689219118)"
10224843,HY411734,9/5/2015 15:43,101XX S PROSPECT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2213,22,19,72,08B,1167466,1837422,2015,2/10/2018 15:50,41.70943086,-87.66232682,"(41.709430861, -87.66232682)"
10224845,HY411825,9/5/2015 16:00,001XX W ELM ST,890,THEFT,FROM BUILDING,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,1824,18,42,8,6,1175121,1908069,2015,2/10/2018 15:50,41.9031259,-87.63218266,"(41.903125898, -87.632182661)"
10224846,HY411839,9/5/2015 16:00,015XX S HARDING AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,1014,10,24,29,7,1150299,1892186,2015,2/10/2018 15:50,41.86006173,-87.72377349,"(41.860061733, -87.723773492)"
10224847,HY411834,9/4/2015 1:00,027XX N SACRAMENTO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1411,14,35,22,14,1155906,1918067,2015,2/10/2018 15:50,41.9309705,-87.70249306,"(41.930970495, -87.702493061)"
12014684,JD189901,3/17/2020 21:30,039XX N LECLAIRE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1634,16,45,15,6,1141659,1925649,2020,3/25/2020 15:45,41.95205195,-87.75466037,"(41.952051946, -87.754660372)"
10224848,HY411832,9/4/2015 23:08,062XX W 64TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,TRUE,812,8,13,64,26,1135842,1861096,2015,2/10/2018 15:50,41.775015,-87.7775802,"(41.775015003, -87.777580203)"
10224849,HY411821,9/5/2015 16:00,024XX N JANSSEN AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1932,19,32,7,5,1166229,1916376,2015,2/10/2018 15:50,41.92611561,-87.66460666,"(41.926115609, -87.664606657)"
10224850,HY411807,9/4/2015 17:00,015XX S STATE ST,890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,131,1,3,33,6,1176584,1892788,2015,2/10/2018 15:50,41.86116104,-87.62727063,"(41.861161041, -87.627270627)"
10224851,HY411708,9/5/2015 14:55,035XX N CLARK ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,1924,19,44,6,6,1168463,1923924,2015,2/10/2018 15:50,41.94677957,-87.65617875,"(41.946779572, -87.65617875)"
10224852,HY411791,9/5/2015 16:25,034XX N WESTERN AVE,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,TRUE,FALSE,1921,19,47,5,26,1159771,1922681,2015,2/10/2018 15:50,41.94355269,-87.68816234,"(41.943552694, -87.688162342)"
10224853,HY411790,9/5/2015 16:15,041XX W FIFTH AVE,1570,SEX OFFENSE,PUBLIC INDECENCY,SIDEWALK,TRUE,FALSE,1132,11,24,26,17,1148735,1896483,2015,9/17/2015 11:37,41.87188354,-87.72940361,"(41.871883543, -87.729403606)"
10224854,HY411699,9/5/2015 12:30,080XX S BISHOP ST,2017,NARCOTICS,MANU/DELIVER:CRACK,RESIDENCE,TRUE,FALSE,612,6,21,71,18,1168064,1851469,2015,2/10/2018 15:50,41.74796511,-87.6597343,"(41.747965107, -87.6597343)"
10224855,HY411771,9/5/2015 16:00,009XX N DAMEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1212,12,32,24,14,1162894,1906466,2015,2/10/2018 15:50,41.89899259,-87.67713975,"(41.898992594, -87.677139749)"
10224857,HY411782,9/5/2015 16:15,056XX W GRAND AVE,460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,2515,25,29,19,08B,1138435,1913561,2015,2/10/2018 15:50,41.91894033,-87.76680564,"(41.91894033, -87.766805639)"
10224858,HY411804,9/5/2015 16:42,077XX S LUELLA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,414,4,7,43,08B,1192547,1853966,2015,2/10/2018 15:50,41.75425611,-87.5699407,"(41.754256108, -87.569940704)"
10224860,HY411797,9/5/2015 16:20,016XX N PARKSIDE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,2531,25,29,25,6,1138465,1910407,2015,2/10/2018 15:50,41.91028485,-87.76677197,"(41.910284848, -87.766771965)"
10224861,HY411835,9/2/2015 7:00,077XX S SAGINAW AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,421,4,7,43,14,1195264,1854243,2015,2/10/2018 15:50,41.75494963,-87.55997485,"(41.754949629, -87.55997485)"
10224862,HY411794,9/5/2015 16:13,008XX N LOCKWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,1524,15,37,25,14,1140870,1905089,2015,2/10/2018 15:50,41.89564771,-87.75806781,"(41.895647706, -87.758067814)"
10224863,HY411809,9/5/2015 16:01,067XX S CAMPBELL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,832,8,15,66,08B,1160868,1859971,2015,2/10/2018 15:50,41.77144742,-87.6858684,"(41.771447416, -87.685868399)"
10224864,HY410860,9/4/2015 21:30,001XX E 78TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,623,6,6,69,04A,1178659,1853330,2015,2/10/2018 15:50,41.75283774,-87.62085454,"(41.75283774, -87.620854539)"
10224865,HY411859,9/5/2015 5:00,076XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,624,6,6,69,14,1182888,1854485,2015,2/10/2018 15:50,41.75591003,-87.60532129,"(41.755910033, -87.605321288)"
